catchment,longitude,latitude,mean_sp,mean_ai,mean_si,bfi,q5Frac,low_fdc,mean_low_flow_dur,q95Frac,high_fdc,mean_high_flow_dur
959,-97.18702,45.16573,0.384562642173684,1.24550476528956,0.565694667227863,0.4064090064897961,0.00434673888661317,9.558385879934733,66.01428571428572,4.4079883891063805,8.77100919187129,24.068493150684933
960,-96.54116,42.21661,0.22886232536842102,1.1786491381716,0.516876258561727,0.739435221278285,0.2611912408817443,2.541553385630998,15.29,2.1854777298268373,2.9521700018713495,2.0641025641025643
961,-105.87174,40.48575,0.9116972479000001,0.945872055784138,-0.0189024567417873,0.49680733468953786,0.08901223329855022,1.7231316643698174,83.33333333333333,5.4126284940387475,9.420710172452852,34.37777777777778
962,-106.45331,41.39968,0.7770297921052629,1.20490293570047,-0.0592180822329889,0.48206680888721715,0.14523385571701034,1.24476227161521,44.93693693693694,5.655071473451909,10.87547465169616,24.081632653061224
963,-106.75427,40.96984,0.7892870963526321,1.01783260160126,-0.164729020527162,0.5193083542825898,0.1357838279973673,1.5715453036052152,44.07692307692308,5.152147623575091,9.652259731413782,34.67567567567568
964,-106.23563,41.47127,0.802271754805263,1.02096681870036,0.130380382582465,0.4550101057900435,0.09991213324851891,1.3385562221582283,76.95384615384616,5.776970781420792,11.180407573428893,34.34146341463415
965,-105.88476,40.52941,0.870533612710526,0.970830932123219,-6.3742122645301e-4,0.4806008831249715,0.05351535403331781,2.5439550668799873,74.08196721311475,5.7182146809674625,9.59116516827748,31.73076923076923
966,-99.71753,41.3055,0.17220740252473699,1.67852781718795,0.542076276783022,0.7180400112042312,0.2629072265580914,3.473531163857656,12.1875,2.0888710092461884,2.8815922019295312,2.979591836734694
967,-96.7152,40.95361,0.160004094501579,1.35080132288125,0.465223276071306,0.43141930358908426,0.14372931158538663,2.969672918266914,12.924778761061948,2.1704577860621517,4.865246863118598,2.1614583333333335
968,-96.6707,41.06547,0.175623698742632,1.31490203343426,0.476256812010699,0.4412749032586786,0.12748093453273285,3.042136797047199,21.627586206896552,2.431888036192263,5.405585685074453,2.735135135135135
969,-96.2556,40.08843,0.150405761665789,1.29720725895806,0.468683020982943,0.2894790684897808,0.00647713800573019,9.206860597942024,24.335,3.4206798395479088,8.636619980444971,7.711340206185567
970,-98.46654,39.911,0.132198990536842,1.68189470181443,0.525537994331004,0.3389805146151142,0.00311643946358198,12.952472284362486,34.92125984251968,2.3600350852069267,5.94229570084685,8.526717557251908
971,-98.0959,39.21838,0.09589124543526321,1.74423086844765,0.536006590657153,0.32729414032260745,0.01352289631557495,7.667690448728234,35.388888888888886,3.8224720252025177,9.627591758477712,10.284552845528456
972,-97.27578,39.19349,0.0980688056236842,1.52839454730668,0.531030049682774,0.34411889127446443,0.08167789857164129,3.2237706988211574,27.452380952380953,2.803868159922011,7.418241481868325,4.383783783783784
973,-96.31728,39.77304,0.13939842547526302,1.31999898526717,0.466819127589056,0.26170248287500963,0.02363800350389866,5.4113857082094015,25.751269035532996,3.602929376173188,9.464077007154264,5.980769230769231
974,-96.31369,38.95412,0.08894506963473679,1.29924414866186,0.485745114062822,0.3754483212481574,0.0319672297843921,4.916082972780433,34.29032258064516,3.0483591488948,6.290341208805366,8.75301204819277
975,-95.91898,39.40967,0.105662310764737,1.29767127700037,0.43737700727816903,0.25955334707006067,0.00906180921658885,8.563577283573995,22.767441860465116,3.0771862001684016,8.269940406295035,5.62719298245614
976,-95.86072,39.32148,0.102157637103684,1.2917277680645,0.43426622194551,0.26023528051484296,0.00672863599230267,10.299998773260151,21.533333333333335,3.078860711629402,8.142585950561735,5.2905982905982905
977,-95.18342,39.34979,0.12240005295052599,1.21343533804293,0.399588484266186,0.2452326097389082,0.00845800443521835,9.230031617829054,20.713675213675213,4.557228948720145,9.709882911871638,5.565573770491803
978,-93.44752,40.91745,0.188215321075789,1.03945339010161,0.37671415385658,0.1865346203446392,3.1786072467169244e-4,15.970723633782464,23.831818181818186,5.91284520034287,12.171815779065,8.967136150234742
979,-93.13386,38.56512,0.0889710113363158,1.09697732102407,0.244382170261336,0.2064250996470409,0.01040154711261767,6.556153528841564,19.95983935742972,3.6383093977611174,9.185875463906434,6.407692307692308
980,-94.97615,38.01957,0.0761877393952632,1.19953458118086,0.33743318198799,0.21791537311745732,2.3167233218867705e-4,18.93894156137094,22.27853881278539,4.247326090125746,9.551779767780811,6.986899563318778
